id,name,case_type,suite,fid,iid,dim,budget,auc,status
00093c26-925e-492d-b501-875326d3cb45,AdaptiveSwarmGradientDescent,f0_only_biased,BBOB,1,1,2,100,0.2969190980035919,ok
00093c26-925e-492d-b501-875326d3cb45,AdaptiveSwarmGradientDescent,f0_only_biased,BBOB,1,2,2,100,0.2960578217674454,ok
00093c26-925e-492d-b501-875326d3cb45,AdaptiveSwarmGradientDescent,f0_only_biased,BBOB,3,1,2,100,0.099300004184675,ok
00093c26-925e-492d-b501-875326d3cb45,AdaptiveSwarmGradientDescent,f0_only_biased,BBOB,3,2,2,100,0.0640916471081598,ok
00093c26-925e-492d-b501-875326d3cb45,AdaptiveSwarmGradientDescent,f0_only_biased,BBOB,5,1,2,100,0.8079574072596185,ok
00093c26-925e-492d-b501-875326d3cb45,AdaptiveSwarmGradientDescent,f0_only_biased,BBOB,5,2,2,100,0.8330056961263056,ok
00093c26-925e-492d-b501-875326d3cb45,AdaptiveSwarmGradientDescent,f0_only_biased,BBOB,8,1,2,100,0.1665669231926074,ok
00093c26-925e-492d-b501-875326d3cb45,AdaptiveSwarmGradientDescent,f0_only_biased,BBOB,8,2,2,100,0.1109855923655758,ok
00093c26-925e-492d-b501-875326d3cb45,AdaptiveSwarmGradientDescent,f0_only_biased,BBOB,15,1,2,100,0.0965136281900339,ok
00093c26-925e-492d-b501-875326d3cb45,AdaptiveSwarmGradientDescent,f0_only_biased,BBOB,15,2,2,100,0.1034519833094553,ok
00093c26-925e-492d-b501-875326d3cb45,AdaptiveSwarmGradientDescent,f0_only_biased,BBOB,20,1,2,100,0.151162205172629,ok
00093c26-925e-492d-b501-875326d3cb45,AdaptiveSwarmGradientDescent,f0_only_biased,BBOB,20,2,2,100,0.1598208405818559,ok
00093c26-925e-492d-b501-875326d3cb45,AdaptiveSwarmGradientDescent,f0_only_biased,BBOB,21,1,2,100,0.2112636324691797,ok
00093c26-925e-492d-b501-875326d3cb45,AdaptiveSwarmGradientDescent,f0_only_biased,BBOB,21,2,2,100,0.1805371815562914,ok
00093c26-925e-492d-b501-875326d3cb45,AdaptiveSwarmGradientDescent,f0_only_biased,BBOB,23,1,2,100,0.1115779525291646,ok
00093c26-925e-492d-b501-875326d3cb45,AdaptiveSwarmGradientDescent,f0_only_biased,BBOB,23,2,2,100,0.1689674607375408,ok
00093c26-925e-492d-b501-875326d3cb45,AdaptiveSwarmGradientDescent,f0_only_biased,BBOB,1,1,5,250,0.1379183379822253,ok
00093c26-925e-492d-b501-875326d3cb45,AdaptiveSwarmGradientDescent,f0_only_biased,BBOB,1,2,5,250,0.1717399005110658,ok
00093c26-925e-492d-b501-875326d3cb45,AdaptiveSwarmGradientDescent,f0_only_biased,BBOB,3,1,5,250,0.0473886965280117,ok
00093c26-925e-492d-b501-875326d3cb45,AdaptiveSwarmGradientDescent,f0_only_biased,BBOB,3,2,5,250,0.0268629841858336,ok
00093c26-925e-492d-b501-875326d3cb45,AdaptiveSwarmGradientDescent,f0_only_biased,BBOB,5,1,5,250,0.6464836084390593,ok
00093c26-925e-492d-b501-875326d3cb45,AdaptiveSwarmGradientDescent,f0_only_biased,BBOB,5,2,5,250,0.3062026143557544,ok
00093c26-925e-492d-b501-875326d3cb45,AdaptiveSwarmGradientDescent,f0_only_biased,BBOB,8,1,5,250,0.004,ok
00093c26-925e-492d-b501-875326d3cb45,AdaptiveSwarmGradientDescent,f0_only_biased,BBOB,8,2,5,250,0.004,ok
00093c26-925e-492d-b501-875326d3cb45,AdaptiveSwarmGradientDescent,f0_only_biased,BBOB,15,1,5,250,0.0367432246103242,ok
00093c26-925e-492d-b501-875326d3cb45,AdaptiveSwarmGradientDescent,f0_only_biased,BBOB,15,2,5,250,0.0152005664323213,ok
00093c26-925e-492d-b501-875326d3cb45,AdaptiveSwarmGradientDescent,f0_only_biased,BBOB,20,1,5,250,0.054272401322876,ok
00093c26-925e-492d-b501-875326d3cb45,AdaptiveSwarmGradientDescent,f0_only_biased,BBOB,20,2,5,250,0.0554502929048921,ok
00093c26-925e-492d-b501-875326d3cb45,AdaptiveSwarmGradientDescent,f0_only_biased,BBOB,21,1,5,250,0.1316345753739305,ok
00093c26-925e-492d-b501-875326d3cb45,AdaptiveSwarmGradientDescent,f0_only_biased,BBOB,21,2,5,250,0.1112455430675006,ok
00093c26-925e-492d-b501-875326d3cb45,AdaptiveSwarmGradientDescent,f0_only_biased,BBOB,23,1,5,250,0.1395040469040989,ok
00093c26-925e-492d-b501-875326d3cb45,AdaptiveSwarmGradientDescent,f0_only_biased,BBOB,23,2,5,250,0.1460576726249165,ok
0035e1fc-6216-46b8-a937-64749e5e1491,Enhanced_Hybrid_PSO_DE,f0_only_biased,BBOB,1,1,2,100,0.20273380543699915,ok
0035e1fc-6216-46b8-a937-64749e5e1491,Enhanced_Hybrid_PSO_DE,f0_only_biased,BBOB,1,2,2,100,0.07273389429891675,ok
0035e1fc-6216-46b8-a937-64749e5e1491,Enhanced_Hybrid_PSO_DE,f0_only_biased,BBOB,3,1,2,100,0.053470464086568414,ok
0035e1fc-6216-46b8-a937-64749e5e1491,Enhanced_Hybrid_PSO_DE,f0_only_biased,BBOB,3,2,2,100,0.08357285023921135,ok
0035e1fc-6216-46b8-a937-64749e5e1491,Enhanced_Hybrid_PSO_DE,f0_only_biased,BBOB,5,1,2,100,0.04631903919261848,ok
0035e1fc-6216-46b8-a937-64749e5e1491,Enhanced_Hybrid_PSO_DE,f0_only_biased,BBOB,5,2,2,100,0.03706003033445493,ok
0035e1fc-6216-46b8-a937-64749e5e1491,Enhanced_Hybrid_PSO_DE,f0_only_biased,BBOB,8,1,2,100,0.29192416072680905,ok
0035e1fc-6216-46b8-a937-64749e5e1491,Enhanced_Hybrid_PSO_DE,f0_only_biased,BBOB,8,2,2,100,0.010000000000000009,ok
0035e1fc-6216-46b8-a937-64749e5e1491,Enhanced_Hybrid_PSO_DE,f0_only_biased,BBOB,15,1,2,100,0.08399796357094802,ok
0035e1fc-6216-46b8-a937-64749e5e1491,Enhanced_Hybrid_PSO_DE,f0_only_biased,BBOB,15,2,2,100,0.014874094243702896,ok
0035e1fc-6216-46b8-a937-64749e5e1491,Enhanced_Hybrid_PSO_DE,f0_only_biased,BBOB,20,1,2,100,0.05803307708160477,ok
0035e1fc-6216-46b8-a937-64749e5e1491,Enhanced_Hybrid_PSO_DE,f0_only_biased,BBOB,20,2,2,100,0.062442256338232305,ok
0035e1fc-6216-46b8-a937-64749e5e1491,Enhanced_Hybrid_PSO_DE,f0_only_biased,BBOB,21,1,2,100,0.15325590274869394,ok
0035e1fc-6216-46b8-a937-64749e5e1491,Enhanced_Hybrid_PSO_DE,f0_only_biased,BBOB,21,2,2,100,0.11991417612728139,ok
0035e1fc-6216-46b8-a937-64749e5e1491,Enhanced_Hybrid_PSO_DE,f0_only_biased,BBOB,23,1,2,100,0.12260160635949435,ok
0035e1fc-6216-46b8-a937-64749e5e1491,Enhanced_Hybrid_PSO_DE,f0_only_biased,BBOB,23,2,2,100,0.12802708430536125,ok
0035e1fc-6216-46b8-a937-64749e5e1491,Enhanced_Hybrid_PSO_DE,f0_only_biased,BBOB,1,1,5,250,0.1652471075333778,ok
0035e1fc-6216-46b8-a937-64749e5e1491,Enhanced_Hybrid_PSO_DE,f0_only_biased,BBOB,1,2,5,250,0.05511401894077683,ok
0035e1fc-6216-46b8-a937-64749e5e1491,Enhanced_Hybrid_PSO_DE,f0_only_biased,BBOB,3,1,5,250,0.03680372931877285,ok
0035e1fc-6216-46b8-a937-64749e5e1491,Enhanced_Hybrid_PSO_DE,f0_only_biased,BBOB,3,2,5,250,0.009907168868376282,ok
0035e1fc-6216-46b8-a937-64749e5e1491,Enhanced_Hybrid_PSO_DE,f0_only_biased,BBOB,5,1,5,250,0.02818184567651716,ok
0035e1fc-6216-46b8-a937-64749e5e1491,Enhanced_Hybrid_PSO_DE,f0_only_biased,BBOB,5,2,5,250,0.02615706327888212,ok
0035e1fc-6216-46b8-a937-64749e5e1491,Enhanced_Hybrid_PSO_DE,f0_only_biased,BBOB,8,1,5,250,0.01163723285305096,ok
0035e1fc-6216-46b8-a937-64749e5e1491,Enhanced_Hybrid_PSO_DE,f0_only_biased,BBOB,8,2,5,250,0.0040000000000000036,ok
0035e1fc-6216-46b8-a937-64749e5e1491,Enhanced_Hybrid_PSO_DE,f0_only_biased,BBOB,15,1,5,250,0.009341541316303492,ok
0035e1fc-6216-46b8-a937-64749e5e1491,Enhanced_Hybrid_PSO_DE,f0_only_biased,BBOB,15,2,5,250,0.004018640587343025,ok
